Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Divin Mubama,19.0,Manchester City,eng Premier League,FW,Finisher,28,0,0,0,0.0,0.0,1,0.0
Ngal'Ayel Mukau,19.0,Lille,fr Ligue 1,MF,Playmaker,1190,0,1,1,0.8,0.7,57,0.6363636363636364
Iker Muñoz,21.0,Osasuna,es La Liga,MF,Finisher,610,0,1,1,0.5,1.0,24,0.17391304347826086
Víctor Muñoz,21.0,Real Madrid,es La Liga,"FW,DF",Finisher,36,0,0,0,0.5,0.0,0,0.0
Bob Murphy Omoregbe,20.0,Milan,it Serie A,MF,Finisher,3,0,0,0,0.0,0.0,0,0.0
Yunus Musah,21.0,Milan,it Serie A,"MF,FW",Playmaker,1571,0,2,2,1.9,1.8,84,0.6551724137931034
Jamal Musiala,21.0,Bayern Munich,de Bundesliga,MF,Defender,1798,12,2,14,9.3,4.5,107,0.84
Kingstone Mutandwa,21.0,Cagliari,it Serie A,"FW,MF",Finisher,127,0,0,0,0.4,0.0,0,0.0
Junior Mwanga,21.0,Le Havre,fr Ligue 1,MF,Finisher,952,1,2,3,1.3,1.0,42,1.0
Junior Mwanga,21.0,Strasbourg,fr Ligue 1,MF,Finisher,296,0,0,0,0.0,0.0,10,0.25
Loïc N'Gatta,20.0,Auxerre,fr Ligue 1,DF,Finisher,13,0,0,0,0.0,0.0,1,0.0
Djylian N'Guessan,15.0,Saint-Étienne,fr Ligue 1,FW,Finisher,181,0,0,0,0.4,0.1,9,0.375
Bilal Nadir,20.0,Marseille,fr Ligue 1,MF,Finisher,383,1,0,1,0.6,0.4,18,0.3333333333333333
Mahamadou Nagida,19.0,Rennes,fr Ligue 1,DF,Finisher,430,2,0,2,1.5,0.3,15,0.3333333333333333
Yael Nandjou,19.0,Nice,fr Ligue 1,DF,Finisher,154,0,0,0,0.2,0.7,3,0.6666666666666666
Pau Navarro,19.0,Villarreal,es La Liga,DF,Finisher,916,0,0,0,0.0,0.0,40,0.47058823529411764
Junior Ndiaye,19.0,Montpellier,fr Ligue 1,FW,Finisher,441,0,0,0,0.5,0.4,7,0.26666666666666666
Wilfried Ndollo,19.0,Montpellier,fr Ligue 1,DF,Finisher,401,0,0,0,0.0,0.0,7,0.375
Cher Ndour,20.0,Fiorentina,it Serie A,"MF,DF",Finisher,406,0,0,0,0.1,0.0,17,0.4444444444444444
